Pantoea coffeiphila	0.9612	0.9605	0.007411	0.09445
Pantoea dispersa	0.9639	0.9604	0.007373	0.4747
Pantoea gaviniae	0.9610	0.9605	0.007412	0.06746
Pantoea brenneri	0.9691	0.9601	0.00715	1.259
Pantoea anthophila	0.9687	0.9602	0.007174	1.185
Pantoea wallisii	0.9592	0.9606	0.007406	0.1890
Pantoea cypripedii	0.9526	0.9610	0.007185	1.169
Pantoea eucalypti	0.9684	0.9602	0.007192	1.140
Pantoea agglomerans	0.9634	0.9604	0.007384	0.4063
Pantoea eucrina	0.9559	0.9608	0.007336	0.6679
Pantoea rodasii	0.9545	0.9609	0.007282	0.8789
Pantoea vagans	0.9675	0.9602	0.00724	1.008
Pantoea conspicua	0.9691	0.9601	0.00715	1.259
Pantoea rwandensis	0.9529	0.9609	0.007202	1.111
Pantoea theicola	0.9525	0.9610	0.007179	1.184
Pantoea calida	0.9557	0.9608	0.007329	0.6959
Pantoea allii	0.9702	0.9601	0.007076	1.427
Pantoea intestinalis	0.9414	0.9615	0.005973	3.365
Pantoea ananatis	0.9649	0.9603	0.007346	0.6262
Pantoea stewartii subsp. stewartii	0.9580	0.9607	0.00739	0.3654
Pantoea deleyi	0.9616	0.9605	0.007409	0.1485
