Paraburkholderia unamae	0.9408	0.9387	0.008874	0.2366
Paraburkholderia dilworthii	0.9453	0.9386	0.008834	0.7584
Paraburkholderia rhizosphaerae	0.9312	0.9389	0.00882	0.8730
Paraburkholderia sacchari	0.9389	0.9387	0.008878	0.02253
Paraburkholderia sabiae	0.9463	0.9386	0.008819	0.8731
Paraburkholderia phenoliruptrix	0.9491	0.9385	0.008767	1.209
Paraburkholderia endofungorum	0.9287	0.9389	0.008775	1.162
Paraburkholderia denitrificans	0.9379	0.9387	0.008878	0.09011
Paraburkholderia dipogonis	0.9383	0.9387	0.008878	0.04506
Paraburkholderia andropogonis	0.9021	0.9394	0.007379	5.055
Paraburkholderia ginsengisoli	0.9344	0.9388	0.008859	0.4967
Paraburkholderia rhizoxinica	0.9292	0.9389	0.008785	1.104
Paraburkholderia diazotrophica	0.9400	0.9387	0.008877	0.1464
Paraburkholderia ribeironis	0.9406	0.9387	0.008875	0.2141
Paraburkholderia oxyphila	0.9381	0.9387	0.008878	0.06758
Paraburkholderia phytofirmans	0.9508	0.9385	0.008728	1.409
Paraburkholderia silvatlantica	0.9348	0.9388	0.008863	0.4513
Paraburkholderia piptadeniae	0.9304	0.9389	0.008807	0.9651
Paraburkholderia kirstenboschensis	0.9445	0.9386	0.008844	0.6671
Paraburkholderia insulsa	0.9499	0.9385	0.008749	1.303
Paraburkholderia metalliresistens	0.9368	0.9388	0.008875	0.2254
Paraburkholderia xenovorans	0.9459	0.9386	0.008825	0.8272
Paraburkholderia symbiotica	0.9344	0.9388	0.008859	0.4967
Paraburkholderia aspalathi	0.9279	0.9389	0.008758	1.256
Paraburkholderia ginsengiterrae	0.9401	0.9387	0.008876	0.1577
Paraburkholderia susongensis	0.9449	0.9386	0.008839	0.7128
Paraburkholderia sediminicola	0.9437	0.9386	0.008853	0.5761
Paraburkholderia graminis	0.9369	0.9388	0.008875	0.2141
Paraburkholderia tropica	0.9439	0.9386	0.008851	0.5988
Paraburkholderia caballeronis	0.9385	0.9387	0.008878	0.02253
Paraburkholderia nodosa	0.9279	0.9389	0.008758	1.256
Paraburkholderia fungorum	0.9477	0.9386	0.008795	1.035
Paraburkholderia phenazinium	0.9263	0.9389	0.008719	1.445
Paraburkholderia terrae	0.9517	0.9385	0.008704	1.517
Paraburkholderia eburnea	0.9349	0.9388	0.008863	0.4400
Paraburkholderia megapolitana	0.9472	0.9386	0.008804	0.9768
Paraburkholderia hospita	0.9488	0.9385	0.008774	1.174
Paraburkholderia kururiensis	0.9303	0.9389	0.008806	0.9766
Paraburkholderia tuberum	0.9447	0.9386	0.008842	0.6899
Paraburkholderia ferrariae	0.9397	0.9387	0.008877	0.1127
Paraburkholderia bannensis	0.9430	0.9386	0.00886	0.4966
Paraburkholderia terricola	0.9498	0.9385	0.008752	1.291
Paraburkholderia sartisoli	0.9401	0.9387	0.008876	0.1577
Paraburkholderia pallidirosea	0.9481	0.9386	0.008788	1.081
Paraburkholderia rhynchosiae	0.9480	0.9386	0.00879	1.069
Paraburkholderia monticola	0.9439	0.9386	0.008851	0.5988
Paraburkholderia caryophylli	0.9279	0.9389	0.008758	1.256
Paraburkholderia caledonica	0.9333	0.9388	0.008848	0.6216
Paraburkholderia solisilvae	0.9423	0.9387	0.008865	0.4061
Paraburkholderia bryophila	0.9326	0.9388	0.00884	0.7014
Paraburkholderia humisilvae	0.9357	0.9388	0.008869	0.3495
Paraburkholderia phymatum	0.9397	0.9387	0.008877	0.1127
Paraburkholderia soli	0.9302	0.9389	0.008804	0.9882
Paraburkholderia sprentiae	0.9413	0.9387	0.008872	0.2931
Paraburkholderia heleia	0.9452	0.9386	0.008835	0.7470
Paraburkholderia caffeinilytica	0.9436	0.9386	0.008854	0.5647
Paraburkholderia mimosarum	0.9187	0.9391	0.008458	2.412
