Paracoccus sphaerophysae	0.9269	0.9354	0.006408	1.326
Paracoccus seriniphilus	0.9339	0.9353	0.00652	0.2147
Paracoccus pantotrophus	0.9392	0.9352	0.006497	0.6157
Paracoccus pacificus	0.9273	0.9354	0.006419	1.262
Paracoccus aestuariivivens	0.9424	0.9351	0.006439	1.134
Paracoccus angustae	0.9389	0.9352	0.006501	0.5691
Paracoccus koreensis	0.9330	0.9353	0.006514	0.3531
Paracoccus yeei	0.9377	0.9352	0.006513	0.3838
Paracoccus hibisci	0.9373	0.9352	0.006516	0.3223
Paracoccus sulfuroxidans	0.9287	0.9354	0.006452	1.038
Paracoccus haeundaensis	0.9325	0.9353	0.00651	0.4301
Paracoccus tibetensis	0.9331	0.9353	0.006515	0.3377
Paracoccus homiensis	0.9390	0.9352	0.00650	0.5846
Paracoccus bengalensis	0.9397	0.9352	0.00649	0.6934
Paracoccus laeviglucosivorans	0.9394	0.9352	0.006495	0.6467
Paracoccus sanguinis	0.9349	0.9353	0.006523	0.06132
Paracoccus cavernae	0.9334	0.9353	0.006517	0.2915
Paracoccus lutimaris	0.9354	0.9352	0.006523	0.03066
Paracoccus solventivorans	0.9389	0.9352	0.006501	0.5691
Paracoccus saliphilus	0.9332	0.9353	0.006516	0.3223
Paracoccus panacisoli	0.9308	0.9353	0.00649	0.6934
Paracoccus limosus	0.9402	0.9351	0.006483	0.7867
Paracoccus halophilus	0.9366	0.9352	0.00652	0.2147
Paracoccus aminovorans	0.9414	0.9351	0.006461	0.9751
Paracoccus communis	0.9401	0.9351	0.006484	0.7711
Paracoccus alkenifer	0.9273	0.9354	0.006419	1.262
Paracoccus versutus	0.9397	0.9352	0.00649	0.6934
Paracoccus fistulariae	0.9297	0.9354	0.006472	0.8807
Paracoccus huijuniae	0.9420	0.9351	0.006448	1.070
Paracoccus niistensis	0.9368	0.9352	0.006519	0.2454
Paracoccus methylutens	0.9052	0.9359	0.004832	6.353
Paracoccus acridae	0.9406	0.9351	0.006476	0.8493
Paracoccus marcusii	0.9370	0.9352	0.006518	0.2762
Paracoccus denitrificans	0.9384	0.9352	0.006506	0.4919
Paracoccus chinensis	0.9354	0.9352	0.006523	0.03066
Paracoccus thiocyanatus	0.9371	0.9352	0.006517	0.2915
Paracoccus kocurii	0.9224	0.9355	0.006248	2.097
Paracoccus rhizosphaerae	0.9344	0.9353	0.006522	0.1380
Paracoccus aminophilus	0.9386	0.9352	0.006504	0.5228
Paracoccus sediminis	0.9345	0.9353	0.006522	0.1227
Paracoccus isoporae	0.9285	0.9354	0.006448	1.070
Paracoccus zeaxanthinifaciens	0.9372	0.9352	0.006516	0.3069
Paracoccus aestuarii	0.9488	0.9350	0.006216	2.220
Paracoccus contaminans	0.9387	0.9352	0.006503	0.5382
Paracoccus caeni	0.9396	0.9352	0.006492	0.6778
Paracoccus carotinifaciens	0.9373	0.9352	0.006516	0.3223
Paracoccus stylophorae	0.9336	0.9353	0.006518	0.2608
Paracoccus marinus	0.9383	0.9352	0.006508	0.4763
Paracoccus alcaliphilus	0.9321	0.9353	0.006507	0.4918
