Pasteurella mairii	0.9122	0.9103	0.01774	0.1071
Pasteurella oralis	0.9144	0.9101	0.01771	0.2428
Pasteurella aerogenes	0.9104	0.9104	0.01774	0E+1
Pasteurella multocida subsp. gallicida	0.9381	0.9083	0.01585	1.880
Pasteurella bettyae	0.9118	0.9103	0.01774	0.08455
Pasteurella dagmatis	0.9315	0.9088	0.01667	1.362
Pasteurella canis	0.9257	0.9092	0.01719	0.9599
Pasteurella caecimuris	0.8968	0.9114	0.01731	0.8434
Pasteurella stomatis	0.9228	0.9094	0.01738	0.7710
Pasteurella multocida subsp. septica	0.9159	0.9100	0.01767	0.3339
Pasteurella caballi	0.9042	0.9109	0.01765	0.3796
Pasteurella skyensis	0.8751	0.9131	0.01455	2.612
Pasteurella testudinis	0.8794	0.9128	0.01534	2.177
Pasteurella multocida subsp. multocida	0.9072	0.9106	0.01772	0.1919
