Pediococcus ethanolidurans	0.9174	0.9300	0.01636	0.7702
Pediococcus acidilactici	0.9361	0.9279	0.01664	0.4928
Pediococcus inopinatus	0.9466	0.9267	0.01562	1.274
Pediococcus damnosus	0.9400	0.9275	0.01637	0.7636
Pediococcus argentinicus	0.9341	0.9281	0.01673	0.3586
Pediococcus cellicola	0.9392	0.9276	0.01643	0.7060
Pediococcus stilesii	0.9320	0.9284	0.01680	0.2143
Pediococcus parvulus	0.9336	0.9282	0.01675	0.3224
Pediococcus claussenii	0.9206	0.9296	0.01659	0.5425
Pediococcus siamensis	0.8877	0.9333	0.008698	5.243
