Peptoniphilus stercorisuis	0.8514	0.8677	0.02313	0.7047
Peptoniphilus coxii	0.8446	0.8682	0.02271	1.039
Peptoniphilus lacrimalis	0.8710	0.8663	0.02348	0.2002
Peptoniphilus koenoeneniae	0.8651	0.8667	0.02351	0.06806
Peptoniphilus duerdenii	0.8565	0.8674	0.02334	0.4670
Peptoniphilus olsenii	0.8677	0.8666	0.02351	0.04679
Peptoniphilus catoniae	0.8420	0.8684	0.02250	1.173
Peptoniphilus methioninivorax	0.8507	0.8678	0.02309	0.7406
Peptoniphilus tyrrelliae	0.9105	0.8635	0.02014	2.334
Peptoniphilus timonensis	0.8899	0.8650	0.02261	1.101
Peptoniphilus senegalensis	0.8891	0.8650	0.02267	1.063
Peptoniphilus ivorii	0.8365	0.8688	0.02198	1.470
Peptoniphilus gorbachii	0.8830	0.8655	0.02307	0.7586
Peptoniphilus indolicus	0.9012	0.8642	0.02148	1.723
Peptoniphilus asaccharolyticus	0.8403	0.8685	0.02235	1.262
