Phenylobacterium conjunctum	0.9446	0.9365	0.01053	0.7692
Phenylobacterium panacis	0.9436	0.9366	0.01061	0.6598
Phenylobacterium immobile	0.9415	0.9368	0.01074	0.4376
Phenylobacterium aquaticum	0.9396	0.9370	0.01081	0.2405
Phenylobacterium lituiforme	0.9381	0.9372	0.01084	0.08303
Phenylobacterium falsum	0.9333	0.9377	0.01075	0.4093
Phenylobacterium muchangponense	0.9459	0.9363	0.01041	0.9222
Phenylobacterium composti	0.9250	0.9387	0.00994	1.378
Phenylobacterium koreense	0.9482	0.9361	0.01014	1.193
Phenylobacterium haematophilum	0.9132	0.9400	0.006767	3.960
