Photobacterium piscicola	0.9474	0.9397	0.01293	0.5955
Photobacterium aestuarii	0.9352	0.9402	0.01297	0.3855
Photobacterium lipolyticum	0.9391	0.9400	0.01301	0.06918
Photobacterium aplysiae	0.9409	0.9400	0.01301	0.06918
Photobacterium gaetbulicola	0.9415	0.9399	0.01300	0.1231
Photobacterium frigidiphilum	0.9439	0.9399	0.01299	0.3079
Photobacterium lutimaris	0.9375	0.9401	0.01300	0.2
Photobacterium angustum	0.9365	0.9401	0.01299	0.2771
Photobacterium rosenbergii	0.9417	0.9399	0.01300	0.1385
Photobacterium alginatilyticum	0.9447	0.9398	0.01298	0.3775
Photobacterium aquae	0.9334	0.9402	0.01295	0.5251
Photobacterium swingsii	0.9406	0.9400	0.01301	0.04612
Photobacterium kishitanii	0.9479	0.9397	0.01292	0.6347
Photobacterium sanguinicancri	0.9336	0.9402	0.01295	0.5097
Photobacterium jeanii	0.9467	0.9398	0.01294	0.5332
Photobacterium sanctipauli	0.9412	0.9400	0.01301	0.09224
Photobacterium panuliri	0.9330	0.9402	0.01294	0.5564
Photobacterium profundum	0.9316	0.9403	0.01291	0.6739
Photobacterium ganghwense	0.9309	0.9403	0.01289	0.7292
Photobacterium leiognathi	0.9393	0.9400	0.01301	0.05380
Photobacterium aquimaris	0.9488	0.9397	0.01290	0.7054
Photobacterium galatheae	0.9433	0.9399	0.01299	0.2617
Photobacterium aphoticum	0.9296	0.9404	0.01285	0.8405
Photobacterium proteolyticum	0.9233	0.9406	0.01260	1.373
Photobacterium halotolerans	0.9253	0.9405	0.01270	1.197
Photobacterium indicum	0.9362	0.9401	0.01299	0.3002
Photobacterium phosphoreum	0.9408	0.9400	0.01301	0.06149
Photobacterium iliopiscarium	0.9281	0.9404	0.01280	0.9609
Photobacterium damselae subsp. piscicida	0.9979	0.9379	0.006721	8.927
