Planococcus versutus	0.9634	0.9603	0.008059	0.3847
Planococcus maitriensis	0.9600	0.9606	0.008106	0.07402
Planococcus faecalis	0.9453	0.9620	0.006525	2.559
Planococcus maritimus	0.9672	0.9600	0.007835	0.9190
Planococcus plakortidis	0.9626	0.9604	0.008083	0.2722
Planococcus rifietoensis	0.9670	0.9600	0.007852	0.8915
Planococcus kocurii	0.9560	0.9610	0.007978	0.6267
Planococcus donghaensis	0.9625	0.9604	0.008085	0.2597
Planococcus columbae	0.9526	0.9613	0.007708	1.129
Planococcus citreus	0.9505	0.9615	0.00746	1.475
Planococcus halocryophilus	0.9736	0.9594	0.006995	2.030
Planococcus antarcticus	0.9663	0.9601	0.007905	0.7843
