Polaribacter porphyrae	0.9304	0.9363	0.01289	0.4577
Polaribacter huanghezhanensis	0.9154	0.9373	0.01184	1.850
Polaribacter reichenbachii	0.9428	0.9356	0.01285	0.5603
Polaribacter haliotis	0.9468	0.9353	0.01267	0.9077
Polaribacter marinaquae	0.9407	0.9357	0.01292	0.3870
Polaribacter litorisediminis	0.9409	0.9357	0.01291	0.4028
Polaribacter filamentus	0.9327	0.9362	0.01295	0.2703
Polaribacter marinivivus	0.9328	0.9362	0.01295	0.2625
Polaribacter gangjinensis	0.9116	0.9375	0.01135	2.282
Polaribacter dokdonensis	0.9431	0.9355	0.01284	0.5919
Polaribacter butkevichii	0.9574	0.9346	0.01174	1.942
Polaribacter atrinae	0.9534	0.9349	0.01217	1.520
Polaribacter irgensii	0.9348	0.9361	0.01297	0.1002
Polaribacter sejongensis	0.9493	0.9352	0.01251	1.127
Polaribacter franzmannii	0.9287	0.9364	0.01284	0.5997
Polaribacter vadi	0.9340	0.9361	0.01296	0.1620
Polaribacter lacunae	0.9169	0.9372	0.01200	1.692
