Pseudoxanthomonas gei	0.9387	0.9452	0.009408	0.6909
Pseudoxanthomonas sacheonensis	0.9436	0.9449	0.009527	0.1365
Pseudoxanthomonas kaohsiungensis	0.9467	0.9447	0.00952	0.2101
Pseudoxanthomonas sangjuensis	0.9488	0.9446	0.00948	0.4430
Pseudoxanthomonas daejeonensis	0.9565	0.9441	0.009076	1.366
Pseudoxanthomonas putridarboris	0.9593	0.9440	0.008821	1.734
Pseudoxanthomonas suwonensis	0.9518	0.9444	0.009372	0.7896
Pseudoxanthomonas yeongjuensis	0.9354	0.9454	0.009237	1.083
Pseudoxanthomonas koreensis	0.9444	0.9449	0.009531	0.05246
Pseudoxanthomonas mexicana	0.9573	0.9441	0.009009	1.465
Pseudoxanthomonas dokdonensis	0.9445	0.9448	0.009532	0.03147
Pseudoxanthomonas indica	0.9362	0.9453	0.009285	0.9801
Pseudoxanthomonas helianthi	0.9464	0.9447	0.009524	0.1785
Pseudoxanthomonas broegbernensis	0.9432	0.9449	0.009523	0.1785
Pseudoxanthomonas japonensis	0.9433	0.9449	0.009524	0.1680
Pseudoxanthomonas taiwanensis	0.9173	0.9464	0.006607	4.404
Pseudoxanthomonas kalamensis	0.9465	0.9447	0.009523	0.1890
Pseudoxanthomonas wuyuanensis	0.9470	0.9447	0.009516	0.2417
