Psychromonas marina	0.9279	0.9450	0.008358	2.046
Psychromonas kaikoae	0.9381	0.9442	0.009384	0.6500
Psychromonas agarivorans	0.9425	0.9439	0.009518	0.1471
Psychromonas ingrahamii	0.9535	0.9430	0.009104	1.153
Psychromonas ossibalaenae	0.9564	0.9428	0.008804	1.545
Psychromonas arctica	0.9432	0.9438	0.009524	0.06300
Psychromonas hadalis	0.9323	0.9447	0.008935	1.388
Psychromonas japonica	0.9526	0.9431	0.00918	1.035
Psychromonas boydii	0.9553	0.9429	0.008929	1.389
Psychromonas aquimarina	0.9488	0.9434	0.009415	0.5736
Psychromonas profunda	0.9473	0.9435	0.009471	0.4012
Psychromonas aquatilis	0.9290	0.9449	0.008524	1.865
Psychromonas antarctica	0.9474	0.9435	0.009468	0.4119
Psychromonas macrocephali	0.9385	0.9442	0.009404	0.6061
