Rhodobacter johrii	0.9451	0.9329	0.007436	1.641
Rhodobacter maris	0.9355	0.9339	0.008278	0.1933
Rhodobacter sphaeroides	0.9424	0.9332	0.007815	1.177
Rhodobacter azotoformans	0.9235	0.9351	0.00752	1.543
Rhodobacter megalophilus	0.9257	0.9349	0.007818	1.177
Rhodobacter viridis	0.9397	0.9335	0.008077	0.7676
Rhodobacter sediminis	0.9458	0.9329	0.007317	1.763
Rhodobacter aestuarii	0.9301	0.9344	0.008189	0.5251
Rhodobacter blasticus	0.9238	0.9351	0.007566	1.494
Rhodobacter veldkampii	0.9294	0.9345	0.008149	0.6258
Rhodobacter vinaykumarii	0.9334	0.9341	0.00829	0.08444
