Rhodococcus baikonurensis	0.9407	0.9414	0.01040	0.06731
Rhodococcus globerulus	0.9433	0.9414	0.01040	0.1827
Rhodococcus phenolicus	0.9393	0.9415	0.01040	0.2115
Rhodococcus hoagii	0.9454	0.9413	0.01039	0.3946
Rhodococcus aetherivorans	0.9196	0.9419	0.009883	2.256
Rhodococcus aerolatus	0.9191	0.9419	0.009858	2.313
Rhodococcus artemisiae	0.9353	0.9416	0.01036	0.6081
Rhodococcus tukisamuensis	0.9249	0.9418	0.01011	1.672
Rhodococcus degradans	0.9495	0.9412	0.01033	0.8035
Rhodococcus erythropolis	0.9474	0.9413	0.01037	0.5882
Rhodococcus zopfii	0.9422	0.9414	0.01040	0.07692
Rhodococcus kunmingensis	0.9412	0.9414	0.01040	0.01923
Rhodococcus coprophilus	0.9376	0.9415	0.01039	0.3754
Rhodococcus fascians	0.9389	0.9415	0.01040	0.25
Rhodococcus ruber	0.9333	0.9416	0.01033	0.8035
Rhodococcus wratislaviensis	0.9569	0.9411	0.01015	1.557
Rhodococcus cerastii	0.9420	0.9414	0.01040	0.05769
Rhodococcus triatomae	0.9500	0.9412	0.01033	0.8519
Rhodococcus rhodnii	0.9400	0.9415	0.01040	0.1442
Rhodococcus humicola	0.9387	0.9415	0.01040	0.2692
Rhodococcus trifolii	0.9478	0.9413	0.01036	0.6274
Rhodococcus lactis	0.9219	0.9418	0.009989	1.992
Rhodococcus cercidiphylli	0.9350	0.9416	0.01036	0.6371
Rhodococcus defluvii	0.9506	0.9412	0.01031	0.9117
Rhodococcus yunnanensis	0.9422	0.9414	0.01040	0.07692
Rhodococcus koreensis	0.9531	0.9412	0.01026	1.160
Rhodococcus antrifimi	0.9461	0.9413	0.01038	0.4624
Rhodococcus biphenylivorans	0.9367	0.9415	0.01038	0.4624
Rhodococcus rhodochrous	0.9371	0.9415	0.01038	0.4239
Rhodococcus kroppenstedtii	0.9244	0.9418	0.01009	1.724
Rhodococcus pyridinivorans	0.9270	0.9417	0.01018	1.444
Rhodococcus enclensis	0.9383	0.9415	0.01039	0.3080
Rhodococcus pedocola	0.9527	0.9412	0.01027	1.120
Rhodococcus percolatus	0.9491	0.9413	0.01034	0.7544
Rhodococcus marinonascens	0.9576	0.9411	0.01012	1.630
Rhodococcus qingshengii	0.9531	0.9412	0.01026	1.160
Rhodococcus jostii	0.9489	0.9413	0.01034	0.7350
Rhodococcus gordoniae	0.9229	0.9418	0.01003	1.884
Rhodococcus sovatensis	0.9386	0.9415	0.01040	0.2788
Rhodococcus corynebacterioides	0.9423	0.9414	0.01040	0.08654
Rhodococcus jialingiae	0.9538	0.9412	0.01024	1.230
Rhodococcus soli	0.9534	0.9412	0.01025	1.190
Rhodococcus imtechensis	0.9579	0.9411	0.01011	1.662
Rhodococcus maanshanensis	0.9497	0.9412	0.01033	0.8228
Rhodococcus opacus	0.9538	0.9412	0.01024	1.230
Rhodococcus nanhaiensis	0.9323	0.9416	0.01031	0.9020
Rhodococcus canchipurensis	0.9352	0.9416	0.01036	0.6178
