Rhodovulum robiginosum	0.9197	0.9336	0.01128	1.232
Rhodovulum imhoffii	0.9213	0.9336	0.01139	1.080
Rhodovulum euryhalinum	0.9289	0.9331	0.01169	0.3593
Rhodovulum mangrovi	0.9377	0.9326	0.01167	0.4370
Rhodovulum viride	0.9517	0.9319	0.01081	1.832
Rhodovulum sulfidophilum	0.9466	0.9321	0.01125	1.289
Rhodovulum aestuarii	0.9255	0.9333	0.01159	0.6730
Rhodovulum tesquicola	0.9369	0.9327	0.01169	0.3593
Rhodovulum bhavnagarense	0.9285	0.9332	0.01168	0.4024
Rhodovulum strictum	0.9406	0.9325	0.01158	0.6995
Rhodovulum algae	0.9459	0.9322	0.01130	1.212
Rhodovulum visakhapatnamense	0.9337	0.9329	0.01173	0.06820
Rhodovulum adriaticum	0.9255	0.9333	0.01159	0.6730
Rhodovulum marinum	0.9299	0.9331	0.01171	0.2733
Rhodovulum steppense	0.9416	0.9324	0.01154	0.7972
Rhodovulum phaeolacus	0.9437	0.9323	0.01143	0.9974
Rhodovulum iodosum	0.9251	0.9333	0.01157	0.7087
Rhodovulum salis	0.9396	0.9325	0.01162	0.6110
Rhodovulum lacipunicei	0.9028	0.9346	0.009187	3.461
