Roseomonas rosea	0.9114	0.9086	0.008205	0.3413
Roseomonas tokyonensis	0.9063	0.9088	0.008209	0.3045
Roseomonas cervicalis	0.9127	0.9086	0.008185	0.5009
Roseomonas arctica	0.9034	0.9089	0.008158	0.6742
Roseomonas lacus	0.9095	0.9087	0.00822	0.09732
Roseomonas alkaliterrae	0.9081	0.9087	0.008221	0.07298
Roseomonas oryzae	0.9127	0.9086	0.008185	0.5009
Roseomonas eburnea	0.9031	0.9089	0.008151	0.7116
Roseomonas riguiloci	0.9001	0.9090	0.008054	1.105
Roseomonas vinacea	0.9140	0.9085	0.008158	0.6742
Roseomonas arcticisoli	0.8877	0.9094	0.007161	3.030
Roseomonas aestuarii	0.9156	0.9085	0.008114	0.8750
Roseomonas nepalensis	0.9089	0.9087	0.008221	0.02433
Roseomonas rubra	0.9072	0.9088	0.008216	0.1947
Roseomonas elaeocarpi	0.9154	0.9085	0.00812	0.8498
Roseomonas gilardii subsp. rosea	0.9231	0.9082	0.007741	1.925
Roseomonas aerophila	0.9050	0.9088	0.008191	0.4639
Roseomonas soli	0.9071	0.9088	0.008216	0.2069
Roseomonas pecuniae	0.8985	0.9091	0.007984	1.328
Roseomonas wooponensis	0.9046	0.9088	0.008184	0.5132
Roseomonas mucosa	0.9157	0.9084	0.00811	0.9001
Roseomonas aerilata	0.9044	0.9089	0.00818	0.5501
Roseomonas gilardii subsp. gilardii	0.9095	0.9087	0.00822	0.09732
Roseomonas terrae	0.9070	0.9088	0.008215	0.2191
Roseomonas oryzicola	0.8945	0.9092	0.007755	1.896
Roseomonas ludipueritiae	0.9170	0.9084	0.008065	1.066
Roseomonas rhizosphaerae	0.9110	0.9086	0.00821	0.2923
Roseomonas stagni	0.9301	0.9079	0.007117	3.119
Roseomonas frigidaquae	0.9086	0.9087	0.008221	0.01216
