Roseovarius aestuarii	0.9346	0.9254	0.01551	0.5932
Roseovarius aquimarinus	0.9142	0.9265	0.01540	0.7987
Roseovarius halotolerans	0.9343	0.9254	0.01552	0.5735
Roseovarius nanhaiticus	0.9210	0.9261	0.01561	0.3267
Roseovarius mucosus	0.9225	0.9261	0.01564	0.2302
Roseovarius tolerans	0.9160	0.9264	0.01547	0.6723
Roseovarius indicus	0.9222	0.9261	0.01563	0.2495
Roseovarius gaetbuli	0.9281	0.9258	0.01565	0.1470
Roseovarius marisflavi	0.9179	0.9263	0.01554	0.5405
Roseovarius antarcticus	0.8824	0.9283	0.01159	3.960
Roseovarius lutimaris	0.9234	0.9260	0.01565	0.1661
Roseovarius litoreus	0.9375	0.9252	0.01540	0.7987
Roseovarius azorensis	0.9021	0.9272	0.01456	1.724
Roseovarius aestuariivivens	0.9397	0.9251	0.01529	0.9549
Roseovarius confluentis	0.9412	0.9250	0.01521	1.065
Roseovarius albus	0.9472	0.9247	0.01478	1.522
Roseovarius pacificus	0.9431	0.9249	0.01509	1.206
Roseovarius nubinhibens	0.9377	0.9252	0.01539	0.8122
Roseovarius scapharcae	0.9265	0.9258	0.01566	0.04470
