Saccharomonospora xinjiangensis	0.9557	0.9465	0.008396	1.096
Saccharomonospora xiaoerkulensis	0.9473	0.9473	0.008842	0E+2
Saccharomonospora saliphila	0.9486	0.9472	0.008832	0.1585
Saccharomonospora azurea	0.9528	0.9468	0.008654	0.6933
Saccharomonospora glauca	0.9487	0.9472	0.008831	0.1699
Saccharomonospora amisosensis	0.9429	0.9478	0.008719	0.5620
Saccharomonospora viridis	0.9341	0.9487	0.007675	1.902
Saccharomonospora cyanea	0.9445	0.9476	0.008792	0.3526
Saccharomonospora halophila	0.9573	0.9463	0.008201	1.341
Saccharomonospora paurometabolica	0.9310	0.9490	0.006988	2.576
Saccharomonospora oceani	0.9578	0.9463	0.008133	1.414
