Saccharothrix mutabilis subsp. capreolus	0.9556	0.9668	0.005232	2.141
Saccharothrix saharensis	0.9748	0.9657	0.005452	1.669
Saccharothrix variisporea	0.9703	0.9659	0.00577	0.7626
Saccharothrix algeriensis	0.9666	0.9662	0.00586	0.06826
Saccharothrix syringae	0.9672	0.9661	0.005855	0.1879
Saccharothrix coeruleofusca	0.9690	0.9660	0.005818	0.5156
Saccharothrix hoggarensis	0.9684	0.9661	0.005834	0.3942
Saccharothrix stipae	0.9659	0.9662	0.00586	0.05119
Saccharothrix longispora	0.9644	0.9663	0.005844	0.3251
Saccharothrix ecbatanensis	0.9648	0.9663	0.00585	0.2564
Saccharothrix xinjiangensis	0.9544	0.9669	0.005069	2.466
Saccharothrix isguenensis	0.9595	0.9666	0.005618	1.264
Saccharothrix violaceirubra	0.9616	0.9665	0.005748	0.8525
Saccharothrix carnea	0.9748	0.9657	0.005452	1.669
Saccharothrix mutabilis subsp. mutabilis	0.9653	0.9662	0.005856	0.1537
Saccharothrix espanaensis	0.9751	0.9657	0.005422	1.734
Saccharothrix tamanrassetensis	0.9677	0.9661	0.005848	0.2736
Saccharothrix texasensis	0.9659	0.9662	0.00586	0.05119
