Shewanella algidipiscicola	0.9303	0.9245	0.01221	0.4750
Shewanella marisflavi	0.9300	0.9245	0.01222	0.4501
Shewanella basaltis	0.9289	0.9245	0.01222	0.3601
Shewanella baltica	0.9311	0.9245	0.01221	0.5405
Shewanella loihica	0.9268	0.9246	0.01223	0.1799
Shewanella benthica	0.9234	0.9246	0.01223	0.09812
Shewanella pacifica	0.9241	0.9246	0.01223	0.04088
Shewanella hafniensis	0.9329	0.9245	0.01219	0.6891
Shewanella marinintestina	0.9368	0.9244	0.01214	1.021
Shewanella dokdonensis	0.8942	0.9251	0.01163	2.657
Shewanella spongiae	0.9004	0.9250	0.01185	2.076
Shewanella algicola	0.9205	0.9247	0.01222	0.3437
Shewanella sairae	0.9384	0.9244	0.01211	1.156
Shewanella hanedai	0.9161	0.9247	0.01219	0.7055
Shewanella atlantica	0.9275	0.9246	0.01223	0.2371
Shewanella algae	0.9201	0.9247	0.01222	0.3764
Shewanella fodinae	0.8876	0.9252	0.01133	3.319
Shewanella indica	0.9240	0.9246	0.01223	0.04906
Shewanella abyssi	0.9268	0.9246	0.01223	0.1799
Shewanella violacea	0.9218	0.9247	0.01223	0.2371
Shewanella denitrificans	0.9212	0.9247	0.01223	0.2862
Shewanella xiamenensis	0.9326	0.9245	0.01219	0.6645
Shewanella gelidii	0.9257	0.9246	0.01223	0.08994
Shewanella kaireitica	0.9306	0.9245	0.01221	0.4996
Shewanella fidelis	0.9323	0.9245	0.01220	0.6393
Shewanella irciniae	0.9079	0.9249	0.01205	1.411
Shewanella woodyi	0.9248	0.9246	0.01223	0.01635
Shewanella olleyana	0.9086	0.9249	0.01207	1.350
Shewanella amazonensis	0.9056	0.9249	0.01200	1.608
Shewanella upenei	0.9200	0.9247	0.01222	0.3846
Shewanella livingstonensis	0.9318	0.9245	0.01220	0.5984
Shewanella psychrophila	0.9183	0.9247	0.01221	0.5242
Shewanella surugensis	0.9279	0.9246	0.01223	0.2698
Shewanella electrodiphila	0.9253	0.9246	0.01223	0.05724
Shewanella colwelliana	0.9306	0.9245	0.01221	0.4996
Shewanella litorisediminis	0.9213	0.9247	0.01223	0.2780
Shewanella haliotis	0.9183	0.9247	0.01221	0.5242
Shewanella pneumatophori	0.9373	0.9244	0.01213	1.063
Shewanella waksmanii	0.9291	0.9245	0.01222	0.3764
Shewanella chilikensis	0.9047	0.9249	0.01198	1.686
Shewanella glacialipiscicola	0.9312	0.9245	0.01221	0.5487
Shewanella gelidimarina	0.9231	0.9246	0.01223	0.1226
Shewanella decolorationis	0.9376	0.9244	0.01213	1.088
Shewanella canadensis	0.9232	0.9246	0.01223	0.1145
Shewanella mangrovi	0.9029	0.9249	0.01193	1.844
Shewanella gaetbuli	0.9321	0.9245	0.01220	0.6230
Shewanella oneidensis	0.9276	0.9246	0.01223	0.2453
Shewanella halifaxensis	0.9350	0.9244	0.01216	0.8717
Shewanella putrefaciens	0.9375	0.9244	0.01213	1.080
Shewanella schlegeliana	0.9339	0.9245	0.01218	0.7718
Shewanella frigidimarina	0.9342	0.9245	0.01217	0.7970
Shewanella seohaensis	0.9347	0.9245	0.01217	0.8381
Shewanella intestini	0.9281	0.9246	0.01223	0.2862
Shewanella aestuarii	0.9275	0.9246	0.01223	0.2371
Shewanella japonica	0.9274	0.9246	0.01223	0.2289
Shewanella donghaensis	0.9287	0.9245	0.01222	0.3437
Shewanella aquimarina	0.9180	0.9247	0.01221	0.5487
Shewanella pealeana	0.9304	0.9245	0.01221	0.4832
Shewanella marina	0.9194	0.9247	0.01222	0.4337
Shewanella inventionis	0.9357	0.9244	0.01216	0.9293
Shewanella profunda	0.9349	0.9245	0.01217	0.8546
Shewanella sediminis	0.9178	0.9247	0.01220	0.5656
Shewanella piezotolerans	0.8967	0.9250	0.01173	2.413
Shewanella arctica	0.9487	0.9242	0.01186	2.066
Shewanella corallii	0.9072	0.9249	0.01204	1.470
Shewanella morhuae	0.9551	0.9241	0.01163	2.666
