Sphingobium hydrophobicum	0.9357	0.9380	0.008082	0.2846
Sphingobium aromaticiconvertens	0.9315	0.9381	0.008024	0.8225
Sphingobium cupriresistens	0.9395	0.9379	0.008086	0.1979
Sphingobium chlorophenolicum	0.9449	0.9378	0.008013	0.8861
Sphingobium wenxiniae	0.9458	0.9378	0.007992	1.001
Sphingobium cloacae	0.9463	0.9377	0.007979	1.078
Sphingobium qiguonii	0.9367	0.9380	0.008088	0.1607
Sphingobium ummariense	0.9389	0.9379	0.008089	0.1236
Sphingobium jiangsuense	0.9322	0.9381	0.008038	0.7340
Sphingobium boeckii	0.9299	0.9381	0.007987	1.027
Sphingobium abikonense	0.9402	0.9379	0.008082	0.2846
Sphingobium barthaii	0.9464	0.9377	0.007976	1.091
Sphingobium japonicum	0.9473	0.9377	0.007951	1.207
Sphingobium herbicidovorans	0.9402	0.9379	0.008082	0.2846
Sphingobium phenoxybenzoativorans	0.9370	0.9380	0.008089	0.1236
Sphingobium francense	0.9448	0.9378	0.008016	0.8733
Sphingobium yanoikuyae	0.9311	0.9381	0.008016	0.8733
Sphingobium mellinum	0.9452	0.9378	0.008007	0.9242
Sphingobium faniae	0.9445	0.9378	0.008022	0.8352
Sphingobium rhizovicinum	0.9468	0.9377	0.007965	1.142
Sphingobium vermicomposti	0.9454	0.9378	0.008002	0.9498
Sphingobium subterraneum	0.9301	0.9381	0.007992	1.001
Sphingobium lucknowense	0.9461	0.9377	0.007984	1.052
Sphingobium sufflavum	0.9263	0.9382	0.007873	1.511
Sphingobium limneticum	0.9477	0.9377	0.007938	1.260
Sphingobium endophyticum	0.9270	0.9382	0.007898	1.418
Sphingobium quisquiliarum	0.9435	0.9378	0.008041	0.7089
Sphingobium amiense	0.9456	0.9378	0.007997	0.9754
Sphingobium lactosutens	0.9460	0.9377	0.007987	1.039
Sphingobium chungbukense	0.9432	0.9378	0.008046	0.6711
Sphingobium xanthum	0.9398	0.9379	0.008085	0.2350
Sphingobium chinhatense	0.9257	0.9383	0.007849	1.605
Sphingobium indicum	0.9344	0.9380	0.00807	0.4461
Sphingobium xenophagum	0.9377	0.9380	0.00809	0.03708
Sphingobium olei	0.9348	0.9380	0.008075	0.3963
Sphingobium fuliginis	0.9408	0.9379	0.008077	0.3590
Sphingobium vulgare	0.9270	0.9382	0.007898	1.418
Sphingobium scionense	0.9436	0.9378	0.00804	0.7214
Sphingobium czechense	0.9271	0.9382	0.007902	1.405
Sphingobium fontiphilum	0.9180	0.9384	0.007434	2.744
Sphingobium suberifaciens	0.9211	0.9384	0.007628	2.268
