Sphingopyxis solisilvae	0.9552	0.9471	0.01686	0.4804
Sphingopyxis fribergensis	0.9578	0.9470	0.01678	0.6436
Sphingopyxis italica	0.9547	0.9472	0.01688	0.4443
Sphingopyxis bauzanensis	0.9495	0.9475	0.01696	0.1179
Sphingopyxis ummariensis	0.9531	0.9473	0.01691	0.3430
Sphingopyxis contaminans	0.9059	0.9499	0.01364	3.226
Sphingopyxis panaciterrulae	0.9521	0.9473	0.01693	0.2835
Sphingopyxis panaciterrae	0.9597	0.9469	0.01671	0.7660
Sphingopyxis granuli	0.9509	0.9474	0.01695	0.2065
Sphingopyxis ginsengisoli	0.9563	0.9471	0.01683	0.5466
Sphingopyxis macrogoltabida	0.9460	0.9477	0.01696	0.1002
Sphingopyxis terrae	0.9224	0.9490	0.01583	1.680
Sphingopyxis alaskensis	0.9476	0.9476	0.01696	0E+1
Sphingopyxis baekryungensis	0.9094	0.9497	0.01423	2.832
Sphingopyxis soli	0.9540	0.9472	0.01689	0.4026
Sphingopyxis flava	0.9394	0.9480	0.01685	0.5104
Sphingopyxis taejonensis	0.9641	0.9467	0.01649	1.055
Sphingopyxis indica	0.9628	0.9467	0.01656	0.9722
Sphingopyxis witflariensis	0.9629	0.9467	0.01655	0.9789
