Spirochaeta asiatica	0.8460	0.8229	0.02266	1.019
Spirochaeta psychrophila	0.8349	0.8239	0.02341	0.4699
Spirochaeta cellobiosiphila	0.8296	0.8244	0.02358	0.2205
Spirochaeta thermophila	0.7813	0.8288	0.01925	2.468
Spirochaeta perfilievii	0.8105	0.8261	0.02319	0.6727
Spirochaeta dissipatitropha	0.8434	0.8231	0.02289	0.8869
Spirochaeta odontotermitis	0.8423	0.8232	0.02298	0.8312
Spirochaeta halophila	0.8225	0.8250	0.02362	0.1058
Spirochaeta africana	0.8120	0.8260	0.02328	0.6014
Spirochaeta lutea	0.8023	0.8268	0.02254	1.087
Spirochaeta aurantia subsp. aurantia	0.8058	0.8265	0.02286	0.9055
Spirochaeta litoralis	0.8670	0.8210	0.01954	2.354
