Spiroplasma platyhelix	0.8149	0.8995	0.02519	3.358
Spiroplasma leptinotarsae	0.8803	0.8975	0.02892	0.5947
Spiroplasma turonicum	0.9168	0.8964	0.02885	0.7071
Spiroplasma velocicrescens	0.9238	0.8962	0.02868	0.9623
Spiroplasma chinense	0.9209	0.8963	0.02876	0.8554
Spiroplasma cantharicola	0.9158	0.8964	0.02887	0.6720
Spiroplasma melliferum	0.8958	0.8970	0.02906	0.04129
Spiroplasma monobiae	0.9158	0.8964	0.02887	0.6720
Spiroplasma poulsonii	0.8767	0.8976	0.02884	0.7247
Spiroplasma diabroticae	0.9217	0.8962	0.02874	0.8873
Spiroplasma citri	0.8859	0.8973	0.02900	0.3931
Spiroplasma alleghenense	0.9007	0.8969	0.02906	0.1308
Spiroplasma kunkelii	0.8737	0.8977	0.02877	0.8342
Spiroplasma culicicola	0.9185	0.8963	0.02882	0.7703
Spiroplasma insolitum	0.8835	0.8974	0.02897	0.4798
Spiroplasma corruscae	0.9177	0.8964	0.02883	0.7388
Spiroplasma ixodetis	0.8063	0.8997	0.02425	3.852
Spiroplasma sabaudiense	0.9053	0.8967	0.02903	0.2962
Spiroplasma tabanidicola	0.9287	0.8960	0.02852	1.147
Spiroplasma floricola	0.9174	0.8964	0.02884	0.7282
Spiroplasma diminutum	0.9201	0.8963	0.02878	0.8270
Spiroplasma clarkii	0.9100	0.8966	0.02897	0.4625
Spiroplasma montanense	0.9146	0.8965	0.02890	0.6263
Spiroplasma phoeniceum	0.8927	0.8971	0.02906	0.1514
Spiroplasma lampyridicola	0.8848	0.8974	0.02899	0.4346
Spiroplasma apis	0.9075	0.8967	0.02901	0.3723
Spiroplasma eriocheiris	0.8707	0.8978	0.02869	0.9446
Spiroplasma litorale	0.9123	0.8965	0.02894	0.5460
Spiroplasma taiwanense	0.9027	0.8968	0.02905	0.2031
Spiroplasma helicoides	0.9056	0.8967	0.02903	0.3066
Spiroplasma lineolae	0.8854	0.8973	0.02899	0.4105
Spiroplasma chrysopicola	0.9314	0.8959	0.02842	1.249
Spiroplasma penaei	0.8904	0.8972	0.02904	0.2342
Spiroplasma syrphidicola	0.8491	0.8984	0.02781	1.773
