Sporolactobacillus putidus	0.9474	0.9459	0.005782	0.2594
Sporolactobacillus terrae	0.9526	0.9453	0.005327	1.370
Sporolactobacillus nakayamae subsp. nakayamae	0.9521	0.9454	0.005399	1.241
Sporolactobacillus inulinus	0.9455	0.9461	0.005798	0.1035
Sporolactobacillus nakayamae subsp. racemicus	0.9388	0.9469	0.00521	1.555
Sporolactobacillus pectinivorans	0.9419	0.9465	0.005614	0.8194
Sporolactobacillus kofuensis	0.9501	0.9456	0.005625	0.8
Sporolactobacillus spathodeae	0.9439	0.9463	0.005752	0.4172
Sporolactobacillus laevolacticus	0.9363	0.9471	0.004679	2.308
Sporolactobacillus shoreae	0.9520	0.9454	0.005413	1.219
