Sporosarcina soli	0.9553	0.9452	0.01106	0.9132
Sporosarcina contaminans	0.9556	0.9452	0.01103	0.9429
Sporosarcina siberiensis	0.9376	0.9470	0.01112	0.8453
Sporosarcina newyorkensis	0.9502	0.9457	0.01139	0.3951
Sporosarcina globispora	0.9443	0.9463	0.01145	0.1747
Sporosarcina luteola	0.9603	0.9447	0.01046	1.491
Sporosarcina aquimarina	0.9472	0.9460	0.01146	0.1047
Sporosarcina ureae	0.9389	0.9468	0.01122	0.7041
Sporosarcina saromensis	0.9472	0.9460	0.01146	0.1047
Sporosarcina pasteurii	0.9186	0.9489	0.006945	4.363
Sporosarcina koreensis	0.9521	0.9455	0.01130	0.5841
