Staphylococcus pseudintermedius	0.9571	0.9583	0.006175	0.1943
Staphylococcus delphini	0.9577	0.9583	0.006177	0.09713
Staphylococcus cohnii subsp. cohnii	0.9638	0.9582	0.006134	0.9129
Staphylococcus stepanovicii	0.9465	0.9585	0.005972	2.009
Staphylococcus saprophyticus subsp. bovis	0.9607	0.9583	0.006169	0.3890
Staphylococcus vitulinus	0.9442	0.9586	0.005882	2.448
Staphylococcus carnosus subsp. carnosus	0.9588	0.9583	0.006177	0.08095
Staphylococcus carnosus subsp. utilis	0.9526	0.9584	0.00613	0.9462
Staphylococcus nepalensis	0.9571	0.9583	0.006175	0.1943
Staphylococcus massiliensis	0.9480	0.9585	0.006021	1.744
Staphylococcus simiae	0.9618	0.9583	0.00616	0.5682
Staphylococcus aureus subsp. aureus	0.9600	0.9583	0.006173	0.2754
Staphylococcus intermedius	0.9593	0.9583	0.006176	0.1619
Staphylococcus succinus subsp. succinus	0.9611	0.9583	0.006166	0.4541
Staphylococcus petrasii subsp. jettensis	0.9683	0.9581	0.006032	1.691
Staphylococcus argenteus	0.9597	0.9583	0.006175	0.2267
Staphylococcus auricularis	0.9598	0.9583	0.006174	0.2430
Staphylococcus petrasii subsp. petrasii	0.9679	0.9582	0.006043	1.605
Staphylococcus kloosii	0.9582	0.9583	0.006177	0.01619
Staphylococcus aureus subsp. anaerobius	0.9585	0.9583	0.006177	0.03238
Staphylococcus piscifermentans	0.9560	0.9584	0.00617	0.3890
Staphylococcus capitis subsp. capitis	0.9632	0.9582	0.006143	0.8139
Staphylococcus caprae	0.9616	0.9583	0.006162	0.5355
Staphylococcus gallinarum	0.9622	0.9583	0.006156	0.6335
Staphylococcus devriesei	0.9636	0.9582	0.006137	0.8799
Staphylococcus equorum subsp. equorum	0.9537	0.9584	0.006146	0.7647
Staphylococcus chromogenes	0.9594	0.9583	0.006176	0.1781
Staphylococcus schleiferi subsp. schleiferi	0.9564	0.9584	0.006172	0.3240
Staphylococcus lutrae	0.9513	0.9584	0.006106	1.163
Staphylococcus epidermidis	0.9637	0.9582	0.006135	0.8965
Staphylococcus xylosus	0.9622	0.9583	0.006156	0.6335
Staphylococcus haemolyticus	0.9607	0.9583	0.006169	0.3890
Staphylococcus agnetis	0.9586	0.9583	0.006177	0.04857
Staphylococcus saccharolyticus	0.9515	0.9584	0.00611	1.129
Staphylococcus condimenti	0.9561	0.9584	0.00617	0.3728
Staphylococcus sciuri	0.9494	0.9585	0.006061	1.501
Staphylococcus hominis subsp. novobiosepticus	0.9631	0.9582	0.006144	0.7975
Staphylococcus rostri	0.9519	0.9584	0.006117	1.063
Staphylococcus pasteuri	0.9633	0.9582	0.006142	0.8303
Staphylococcus succinus subsp. casei	0.9548	0.9584	0.006159	0.5845
Staphylococcus lentus	0.9481	0.9585	0.006024	1.726
Staphylococcus petrasii subsp. pragensis	0.9678	0.9582	0.006046	1.588
Staphylococcus equorum subsp. linens	0.9561	0.9584	0.00617	0.3728
Staphylococcus microti	0.9576	0.9583	0.006177	0.1133
Staphylococcus hominis subsp. hominis	0.9644	0.9582	0.006124	1.012
Staphylococcus cohnii subsp. urealyticus	0.9656	0.9582	0.00610	1.213
Staphylococcus capitis subsp. urealyticus	0.9600	0.9583	0.006173	0.2754
Staphylococcus petrasii subsp. croceilyticus	0.9631	0.9582	0.006144	0.7975
Staphylococcus schleiferi subsp. coagulans	0.9573	0.9583	0.006176	0.1619
Staphylococcus fleurettii	0.9379	0.9587	0.005542	3.753
Staphylococcus arlettae	0.9603	0.9583	0.006172	0.3240
Staphylococcus pettenkoferi	0.9550	0.9584	0.006161	0.5519
Staphylococcus felis	0.9569	0.9583	0.006174	0.2268
Staphylococcus simulans	0.9540	0.9584	0.00615	0.7154
Staphylococcus muscae	0.9609	0.9583	0.006168	0.4215
Staphylococcus saprophyticus subsp. saprophyticus	0.9679	0.9582	0.006043	1.605
Staphylococcus warneri	0.9696	0.9581	0.005991	1.920
Staphylococcus hyicus	0.9565	0.9584	0.006173	0.3078
