Stenotrophomonas maltophilia	0.9649	0.9634	0.002727	0.5501
Stenotrophomonas pictorum	0.9615	0.9637	0.002682	0.8203
Stenotrophomonas daejeonensis	0.9580	0.9641	0.002133	2.860
Stenotrophomonas pavanii	0.9656	0.9634	0.002683	0.8200
Stenotrophomonas acidaminiphila	0.9650	0.9634	0.002722	0.5878
Stenotrophomonas rhizophila	0.9601	0.9639	0.002535	1.499
Stenotrophomonas chelatiphaga	0.9616	0.9637	0.002689	0.7810
Stenotrophomonas nitritireducens	0.9654	0.9634	0.002698	0.7413
Stenotrophomonas tumulicola	0.9638	0.9635	0.002758	0.1088
Stenotrophomonas humi	0.9665	0.9633	0.002599	1.231
Stenotrophomonas ginsengisoli	0.9671	0.9632	0.002524	1.545
Stenotrophomonas koreensis	0.9632	0.9636	0.002757	0.1451
