Streptococcus vestibularis	0.9249	0.9194	0.009657	0.5695
Streptococcus cuniculi	0.9198	0.9195	0.009671	0.03102
Streptococcus orisasini	0.9090	0.9196	0.009616	1.102
Streptococcus oricebi	0.9202	0.9195	0.009671	0.07238
Streptococcus sanguinis	0.9280	0.9194	0.009635	0.8926
Streptococcus troglodytae	0.8966	0.9197	0.009407	2.456
Streptococcus rupicaprae	0.9078	0.9196	0.009603	1.229
Streptococcus moroccensis	0.9225	0.9194	0.009667	0.3207
Streptococcus parauberis	0.9250	0.9194	0.009656	0.5800
Streptococcus danieliae	0.9205	0.9195	0.009671	0.1034
Streptococcus pseudoporcinus	0.9202	0.9195	0.009671	0.07238
Streptococcus ursoris	0.9161	0.9195	0.009666	0.3517
Streptococcus porci	0.9251	0.9194	0.009655	0.5904
Streptococcus ovis	0.9081	0.9196	0.009607	1.197
Streptococcus dysgalactiae subsp. dysgalactiae	0.9187	0.9195	0.009671	0.08272
Streptococcus henryi	0.9205	0.9195	0.009671	0.1034
Streptococcus cristatus	0.9280	0.9194	0.009635	0.8926
Streptococcus agalactiae	0.9230	0.9194	0.009665	0.3725
Streptococcus peroris	0.9200	0.9195	0.009671	0.05170
Streptococcus oralis subsp. oralis	0.9270	0.9194	0.009643	0.7881
Streptococcus alactolyticus	0.9259	0.9194	0.009651	0.6735
Streptococcus salivarius subsp. thermophilus	0.9224	0.9194	0.009667	0.3103
Streptococcus hongkongensis	0.9215	0.9195	0.009669	0.2068
Streptococcus rifensis	0.9165	0.9195	0.009667	0.3103
Streptococcus suis	0.9279	0.9194	0.009636	0.8821
Streptococcus constellatus subsp. viborgensis	0.9215	0.9195	0.009669	0.2068
Streptococcus gallolyticus subsp. gallolyticus	0.9021	0.9196	0.00952	1.838
Streptococcus caprae	0.9111	0.9196	0.009636	0.8821
Streptococcus lutetiensis	0.9222	0.9195	0.009668	0.2793
Streptococcus massiliensis	0.9168	0.9195	0.009668	0.2793
Streptococcus downei	0.9171	0.9195	0.009668	0.2482
Streptococcus orisratti	0.9002	0.9197	0.009485	2.056
