Streptomonospora salina	0.9591	0.9553	0.005628	0.6752
Streptomonospora halophila	0.9598	0.9552	0.00557	0.8259
Streptomonospora amylolytica	0.9582	0.9554	0.005687	0.4924
Streptomonospora flavalba	0.9580	0.9554	0.005698	0.4563
Streptomonospora arabica	0.9542	0.9558	0.005734	0.2790
Streptomonospora alba	0.9485	0.9565	0.005178	1.545
Streptomonospora halotolerans	0.9612	0.9550	0.005417	1.145
Streptomonospora sediminis	0.9483	0.9565	0.005143	1.594
Streptomonospora algeriensis	0.9470	0.9566	0.004887	1.964
Streptomonospora tuzyakensis	0.9623	0.9549	0.005263	1.406
