Streptosporangium subroseum	0.9627	0.9665	0.008574	0.4432
Streptosporangium roseum	0.9737	0.9661	0.008486	0.8956
Streptosporangium nanhuense	0.9713	0.9662	0.00855	0.5965
Streptosporangium fragile	0.9609	0.9666	0.008538	0.6676
Streptosporangium violaceochromogenes	0.9457	0.9671	0.00763	2.805
Streptosporangium terrae	0.9632	0.9665	0.008581	0.3846
Streptosporangium taraxaci	0.9740	0.9661	0.008476	0.9320
Streptosporangium fenghuangense	0.9705	0.9662	0.008566	0.5020
Streptosporangium pseudovulgare	0.9651	0.9664	0.008599	0.1512
Streptosporangium amethystogenes subsp. amethystogenes	0.9760	0.9660	0.00840	1.190
Streptosporangium saharense	0.9598	0.9666	0.00851	0.7991
Streptosporangium becharense	0.9535	0.9668	0.00824	1.614
Streptosporangium oxazolinicum	0.9642	0.9664	0.008593	0.2560
Streptosporangium purpuratum	0.9593	0.9666	0.008495	0.8593
Streptosporangium corydalis	0.9720	0.9662	0.008534	0.6796
Streptosporangium algeriense	0.9654	0.9664	0.008601	0.1163
Streptosporangium amethystogenes subsp. fukuiense	0.9747	0.9661	0.008452	1.018
Streptosporangium vulgare	0.9756	0.9660	0.008417	1.141
Streptosporangium carneum	0.9684	0.9663	0.008594	0.2444
Streptosporangium nondiastaticum	0.9655	0.9664	0.008601	0.1046
Streptosporangium shengliense	0.9746	0.9661	0.008455	1.005
Streptosporangium album	0.9739	0.9661	0.008479	0.9199
Streptosporangium anatoliense	0.9665	0.9664	0.008603	0.01162
Streptosporangium sandarakinum	0.9591	0.9666	0.008489	0.8835
Streptosporangium jomthongense	0.9494	0.9670	0.007961	2.211
Streptosporangium jiaoheense	0.9755	0.9660	0.008421	1.128
Streptosporangium yunnanense	0.9531	0.9668	0.008216	1.667
Streptosporangium longisporum	0.9743	0.9661	0.008466	0.9686
Streptosporangium lutulentum	0.9764	0.9660	0.008383	1.241
