Sulfitobacter noctilucicola	0.9566	0.9491	0.008205	0.9141
Sulfitobacter dubius	0.9534	0.9493	0.008354	0.4908
Sulfitobacter geojensis	0.9523	0.9494	0.008384	0.3459
Sulfitobacter porphyrae	0.9631	0.9487	0.007604	1.894
Sulfitobacter undariae	0.9499	0.9496	0.008415	0.03565
Sulfitobacter brevis	0.9560	0.9491	0.00824	0.8374
Sulfitobacter litoralis	0.9545	0.9492	0.008313	0.6376
Sulfitobacter delicatus	0.9487	0.9496	0.008413	0.1070
Sulfitobacter marinus	0.9527	0.9494	0.008375	0.3940
Sulfitobacter pontiacus	0.9471	0.9497	0.00839	0.3099
Sulfitobacter pacificus	0.9519	0.9494	0.008393	0.2979
Sulfitobacter donghicola	0.9510	0.9495	0.008407	0.1784
Sulfitobacter noctilucae	0.9429	0.9500	0.008226	0.8631
Sulfitobacter faviae	0.9254	0.9512	0.00541	4.769
Sulfitobacter mediterraneus	0.9473	0.9497	0.008394	0.2859
Sulfitobacter guttiformis	0.9404	0.9502	0.008052	1.217
