Tenacibaculum mesophilum	0.9482	0.9414	0.009358	0.7267
Tenacibaculum aiptasiae	0.9406	0.9417	0.009467	0.1162
Tenacibaculum dicentrarchi	0.9238	0.9425	0.008586	2.178
Tenacibaculum adriaticum	0.9481	0.9414	0.009361	0.7157
Tenacibaculum litoreum	0.9527	0.9412	0.009145	1.258
Tenacibaculum gallaicum	0.9519	0.9412	0.009192	1.164
Tenacibaculum caenipelagi	0.9508	0.9413	0.009249	1.027
Tenacibaculum skagerrakense	0.9391	0.9418	0.009453	0.2856
Tenacibaculum xiamenense	0.9414	0.9417	0.00947	0.03168
Tenacibaculum geojense	0.9313	0.9422	0.009181	1.187
Tenacibaculum amylolyticum	0.9397	0.9418	0.00946	0.2220
Tenacibaculum ascidiaceicola	0.9548	0.9411	0.009006	1.521
Tenacibaculum soleae	0.9389	0.9418	0.00945	0.3069
Tenacibaculum holothuriorum	0.9331	0.9421	0.009274	0.9705
Tenacibaculum sediminilitoris	0.9492	0.9413	0.00932	0.8476
Tenacibaculum jejuense	0.9270	0.9424	0.008884	1.733
Tenacibaculum litopenaei	0.9361	0.9420	0.009388	0.6285
Tenacibaculum aestuarii	0.9562	0.9410	0.008898	1.708
Tenacibaculum crassostreae	0.9444	0.9416	0.009451	0.2963
Tenacibaculum discolor	0.9467	0.9415	0.009404	0.5530
Tenacibaculum ovolyticum	0.9267	0.9424	0.008859	1.772
Tenacibaculum lutimaris	0.9365	0.9419	0.009399	0.5745
