Thalassospira indica	0.9693	0.9643	0.01059	0.4721
Thalassospira mesophila	0.9592	0.9654	0.01053	0.5888
Thalassospira tepidiphila	0.9646	0.9648	0.01071	0.01867
Thalassospira australica	0.9753	0.9637	0.01006	1.153
Thalassospira alkalitolerans	0.9629	0.9650	0.01069	0.1964
Thalassospira xianhensis	0.9722	0.9640	0.01039	0.7892
Thalassospira profundimaris	0.9670	0.9646	0.01068	0.2247
Thalassospira lucentensis	0.9376	0.9678	0.004817	6.269
Thalassospira povalilytica	0.9725	0.9640	0.01036	0.8205
Thalassospira xiamenensis	0.9676	0.9645	0.01066	0.2908
