Thermoanaerobacter sulfurigignens	0.9208	0.9228	0.009815	0.2038
Thermoanaerobacter thermocopriae	0.9189	0.9230	0.009778	0.4193
Thermoanaerobacter acetoethylicus	0.9259	0.9225	0.009793	0.3472
Thermoanaerobacter italicus	0.9119	0.9234	0.009423	1.220
Thermoanaerobacter kivui	0.9133	0.9233	0.009522	1.050
Thermoanaerobacter sulfurophilus	0.9310	0.9222	0.009593	0.9173
Thermoanaerobacter uzonensis	0.9186	0.9230	0.00977	0.4504
Thermoanaerobacter wiegelii	0.9349	0.9220	0.009313	1.385
Thermoanaerobacter brockii subsp. lactiethylicus	0.9236	0.9227	0.009825	0.09160
Thermoanaerobacter pseudethanolicus	0.9423	0.9215	0.008433	2.467
Thermoanaerobacter ethanolicus	0.9176	0.9230	0.009738	0.5545
Thermoanaerobacter pentosaceus	0.9157	0.9232	0.009659	0.7765
Thermoanaerobacter mathranii subsp. mathranii	0.9275	0.9224	0.00975	0.5231
Thermoanaerobacter brockii subsp. brockii	0.9387	0.9217	0.008923	1.905
Thermoanaerobacter thermohydrosulfuricus	0.9229	0.9227	0.009827	0.02035
Thermoanaerobacter brockii subsp. finnii	0.9177	0.9230	0.009742	0.5440
Thermoanaerobacter siderophilus	0.9050	0.9238	0.008701	2.161
