Thermococcus barossii	0.9759	0.9655	0.01136	0.9155
Thermococcus alcaliphilus	0.9538	0.9662	0.01130	1.097
Thermococcus peptonophilus	0.9757	0.9655	0.01136	0.8979
Thermococcus atlanticus	0.9442	0.9665	0.01081	2.063
Thermococcus sibiricus	0.9404	0.9666	0.01053	2.488
Thermococcus thioreducens	0.9677	0.9657	0.01150	0.1739
Thermococcus paralvinellae	0.9653	0.9658	0.01151	0.04344
Thermococcus fumicolans	0.9748	0.9655	0.01139	0.8165
Thermococcus waiotapuensis	0.9590	0.9660	0.01144	0.6119
Thermococcus coalescens	0.9783	0.9654	0.01128	1.144
Thermococcus piezophilus	0.9732	0.9655	0.01143	0.6737
Thermococcus nautili	0.9729	0.9656	0.01143	0.6387
Thermococcus barophilus	0.9539	0.9662	0.01130	1.088
Thermococcus profundus	0.9735	0.9655	0.01142	0.7005
Thermococcus gammatolerans	0.9696	0.9657	0.01148	0.3397
Thermococcus gorgonarius	0.9755	0.9655	0.01137	0.8795
Thermococcus aegaeus	0.9573	0.9661	0.01140	0.7719
Thermococcus celericrescens	0.9692	0.9657	0.01149	0.3046
Thermococcus chitonophagus	0.9412	0.9666	0.01059	2.398
Thermococcus eurythermalis	0.9701	0.9656	0.01148	0.3920
Thermococcus aggregans	0.9531	0.9662	0.01127	1.162
Thermococcus guaymasensis	0.9730	0.9656	0.01143	0.6474
Thermococcus siculi	0.9765	0.9654	0.01134	0.9788
Thermococcus zilligii	0.9530	0.9662	0.01127	1.171
Thermococcus prieurii	0.9702	0.9656	0.01148	0.4007
Thermococcus celer	0.9794	0.9653	0.01123	1.256
Thermococcus acidaminovorans	0.9692	0.9657	0.01149	0.3046
Thermococcus cleftensis	0.9779	0.9654	0.01129	1.107
Thermococcus kodakarensis	0.9786	0.9654	0.01127	1.171
Thermococcus hydrothermalis	0.9693	0.9657	0.01149	0.3133
Thermococcus stetteri	0.9615	0.9659	0.01148	0.3833
Thermococcus litoralis	0.9520	0.9662	0.01123	1.264
