Thermus arciformis	0.9301	0.9184	0.01593	0.7345
Thermus tengchongensis	0.9261	0.9188	0.01614	0.4523
Thermus caliditerrae	0.9134	0.9199	0.01617	0.4020
Thermus composti	0.9217	0.9192	0.01626	0.1538
Thermus antranikianii	0.9234	0.9190	0.01623	0.2711
Thermus igniterrae	0.9283	0.9186	0.01604	0.6047
Thermus filiformis	0.9013	0.9210	0.01525	1.292
Thermus oshimai	0.8795	0.9230	0.01036	4.199
Thermus islandicus	0.9358	0.9179	0.01544	1.159
Thermus aquaticus	0.9389	0.9176	0.01508	1.412
Thermus brockianus	0.9215	0.9192	0.01627	0.1414
Thermus scotoductus	0.9126	0.9200	0.01614	0.4585
