Tsukamurella pseudospumae	0.9870	0.9790	0.01190	0.6723
Tsukamurella carboxydivorans	0.9851	0.9791	0.01199	0.5004
Tsukamurella paurometabola	0.9841	0.9792	0.01203	0.4073
Tsukamurella sunchonensis	0.9854	0.9791	0.01198	0.5259
Tsukamurella hongkongensis	0.9821	0.9794	0.01208	0.2235
Tsukamurella pulmonis	0.9819	0.9794	0.01209	0.2068
Tsukamurella tyrosinosolvens	0.9735	0.9801	0.01197	0.5514
Tsukamurella sinensis	0.9815	0.9794	0.01209	0.1737
Tsukamurella strandjordii	0.9801	0.9796	0.01211	0.04129
Tsukamurella soli	0.9434	0.9826	0.005325	7.362
Tsukamurella spongiae	0.9717	0.9803	0.01187	0.7245
Tsukamurella spumae	0.9901	0.9787	0.01169	0.9752
Tsukamurella serpentis	0.9888	0.9788	0.01179	0.8482
