Veillonella dispar	0.9554	0.9363	0.01563	1.222
Veillonella denticariosi	0.9545	0.9364	0.01573	1.151
Veillonella atypica	0.9509	0.9367	0.01606	0.8842
Veillonella rogosae	0.9460	0.9371	0.01638	0.5433
Veillonella criceti	0.9362	0.9380	0.01657	0.1086
Veillonella seminalis	0.9363	0.9380	0.01657	0.1026
Veillonella caviae	0.9452	0.9372	0.01642	0.4872
Veillonella magna	0.9243	0.9391	0.01602	0.9238
Veillonella tobetsuensis	0.9510	0.9367	0.01606	0.8904
Veillonella parvula	0.9351	0.9381	0.01656	0.1812
Veillonella rodentium	0.9201	0.9395	0.01560	1.244
Veillonella ratti	0.8996	0.9414	0.01138	3.673
