Williamsia limnetica	0.9443	0.9493	0.008318	0.6011
Williamsia herbipolensis	0.9615	0.9474	0.007205	1.957
Williamsia spongiae	0.9520	0.9485	0.008395	0.4169
Williamsia faeni	0.9344	0.9504	0.006784	2.358
Williamsia maris	0.9478	0.9489	0.008461	0.1300
Williamsia deligens	0.9514	0.9485	0.008421	0.3444
Williamsia sterculiae	0.9409	0.9497	0.007998	1.100
Williamsia muralis	0.9590	0.9477	0.007678	1.472
Williamsia marianensis	0.9425	0.9495	0.008172	0.8566
Williamsia phyllosphaerae	0.9545	0.9482	0.008231	0.7654
