Yersinia ruckeri	0.9784	0.9788	0.00524	0.07634
Yersinia enterocolitica subsp. palearctica	0.9682	0.9794	0.00453	2.472
Yersinia similis	0.9794	0.9787	0.005238	0.1336
Yersinia aldovae	0.9834	0.9785	0.005111	0.9587
Yersinia mollaretii	0.9812	0.9786	0.005205	0.4995
Yersinia rohdei	0.9806	0.9787	0.005221	0.3639
Yersinia frederiksenii	0.9796	0.9787	0.005237	0.1719
Yersinia wautersii	0.9776	0.9788	0.005233	0.2293
Yersinia pestis	0.9772	0.9789	0.005226	0.3253
Yersinia massiliensis	0.9771	0.9789	0.005224	0.3446
Yersinia enterocolitica subsp. enterocolitica	0.9724	0.9791	0.004995	1.341
Yersinia nurmii	0.9723	0.9791	0.004987	1.364
Yersinia aleksiciae	0.9801	0.9787	0.00523	0.2677
Yersinia intermedia	0.9848	0.9784	0.00502	1.275
Yersinia bercovieri	0.9815	0.9786	0.005196	0.5581
Yersinia pseudotuberculosis	0.9742	0.9790	0.005116	0.9382
Yersinia entomophaga	0.9780	0.9788	0.005237	0.1528
Yersinia kristensenii	0.9917	0.9780	0.004128	3.319
